dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,hum,windspeed,cnt,season_name,recency
2011-01-01,1,0,1,0,6,0,2,0.805833,0.160446,985,Spring,730
2011-01-02,1,0,1,0,0,0,2,0.696087,0.248539,801,Spring,729
2011-01-03,1,0,1,0,1,1,1,0.437273,0.248309,1349,Spring,728
2011-01-04,1,0,1,0,2,1,1,0.590435,0.160296,1562,Spring,727
2011-01-05,1,0,1,0,3,1,1,0.436957,0.1869,1600,Spring,726
2011-01-06,1,0,1,0,4,1,1,0.518261,0.0895652,1606,Spring,725
2011-01-07,1,0,1,0,5,1,2,0.498696,0.168726,1510,Spring,724
2011-01-08,1,0,1,0,6,0,2,0.535833,0.266804,959,Spring,723
2011-01-09,1,0,1,0,0,0,1,0.434167,0.36195,822,Spring,722
2011-01-10,1,0,1,0,1,1,1,0.482917,0.223267,1321,Spring,721
2011-01-11,1,0,1,0,2,1,2,0.686364,0.122132,1263,Spring,720
2011-01-12,1,0,1,0,3,1,1,0.599545,0.304627,1162,Spring,719
2011-01-13,1,0,1,0,4,1,1,0.470417,0.301,1406,Spring,718
2011-01-14,1,0,1,0,5,1,1,0.537826,0.126548,1421,Spring,717
2011-01-15,1,0,1,0,6,0,2,0.49875,0.157963,1248,Spring,716
2011-01-16,1,0,1,0,0,0,1,0.48375,0.188433,1204,Spring,715
2011-01-17,1,0,1,1,1,0,2,0.5375,0.194017,1000,Spring,714
2011-01-18,1,0,1,0,2,1,2,0.861667,0.146775,683,Spring,713
2011-01-19,1,0,1,0,3,1,2,0.741739,0.208317,1650,Spring,712
2011-01-20,1,0,1,0,4,1,2,0.538333,0.195904,1927,Spring,711
2011-01-21,1,0,1,0,5,1,1,0.457083,0.353242,1543,Spring,710
2011-01-22,1,0,1,0,6,0,1,0.4,0.17197,981,Spring,709
2011-01-23,1,0,1,0,0,0,1,0.436522,0.2466,986,Spring,708
2011-01-24,1,0,1,0,1,1,1,0.491739,0.15833,1416,Spring,707
2011-01-25,1,0,1,0,2,1,2,0.616957,0.129796,1985,Spring,706
2011-01-26,1,0,1,0,3,1,3,0.8625,0.29385,506,Spring,705
2011-01-27,1,0,1,0,4,1,1,0.6875,0.113837,431,Spring,704
2011-01-28,1,0,1,0,5,1,2,0.793043,0.1233,1167,Spring,703
2011-01-29,1,0,1,0,6,0,1,0.651739,0.145365,1098,Spring,702
2011-01-30,1,0,1,0,0,0,1,0.722174,0.0739826,1096,Spring,701
2011-01-31,1,0,1,0,1,1,2,0.60375,0.187192,1501,Spring,700
2011-02-01,1,0,2,0,2,1,2,0.829565,0.053213,1360,Spring,699
2011-02-02,1,0,2,0,3,1,2,0.775417,0.264308,1526,Spring,698
2011-02-03,1,0,2,0,4,1,1,0.437826,0.277752,1550,Spring,697
2011-02-04,1,0,2,0,5,1,2,0.585217,0.127839,1708,Spring,696
2011-02-05,1,0,2,0,6,0,2,0.929167,0.161079,1005,Spring,695
2011-02-06,1,0,2,0,0,0,1,0.568333,0.1418,1623,Spring,694
2011-02-07,1,0,2,0,1,1,1,0.738333,0.0454083,1712,Spring,693
2011-02-08,1,0,2,0,2,1,1,0.537917,0.36195,1530,Spring,692
2011-02-09,1,0,2,0,3,1,2,0.494783,0.188839,1605,Spring,691
2011-02-10,1,0,2,0,4,1,1,0.437391,0.221935,1538,Spring,690
2011-02-11,1,0,2,0,5,1,1,0.506364,0.10855,1746,Spring,689
2011-02-12,1,0,2,0,6,0,1,0.544167,0.203367,1472,Spring,688
2011-02-13,1,0,2,0,0,0,1,0.457391,0.260883,1589,Spring,687
2011-02-14,1,0,2,0,1,1,1,0.375833,0.417908,1913,Spring,686
2011-02-15,1,0,2,0,2,1,1,0.314348,0.291374,1815,Spring,685
2011-02-16,1,0,2,0,3,1,1,0.423478,0.251791,2115,Spring,684
2011-02-17,1,0,2,0,4,1,1,0.505,0.230104,2475,Spring,683
2011-02-18,1,0,2,0,5,1,1,0.516667,0.264925,2927,Spring,682
2011-02-19,1,0,2,0,6,0,1,0.187917,0.507463,1635,Spring,681
2011-02-20,1,0,2,0,0,0,1,0.407826,0.223235,1812,Spring,680
2011-02-21,1,0,2,1,1,0,2,0.605,0.307846,1107,Spring,679
2011-02-22,1,0,2,0,2,1,1,0.577778,0.195683,1450,Spring,678
2011-02-23,1,0,2,0,3,1,1,0.423043,0.094113,1917,Spring,677
2011-02-24,1,0,2,0,4,1,2,0.697391,0.250496,1807,Spring,676
2011-02-25,1,0,2,0,5,1,2,0.712174,0.346539,1461,Spring,675
2011-02-26,1,0,2,0,6,0,1,0.537917,0.186571,1969,Spring,674
2011-02-27,1,0,2,0,0,0,1,0.68,0.125248,2402,Spring,673
2011-02-28,1,0,2,0,1,1,2,0.876364,0.289686,1446,Spring,672
2011-03-01,1,0,3,0,2,1,1,0.535,0.216425,1851,Spring,671
2011-03-02,1,0,3,0,3,1,1,0.449583,0.307833,2134,Spring,670
2011-03-03,1,0,3,0,4,1,1,0.318333,0.225754,1685,Spring,669
2011-03-04,1,0,3,0,5,1,2,0.610417,0.203346,1944,Spring,668
2011-03-05,1,0,3,0,6,0,2,0.789167,0.251871,2077,Spring,667
2011-03-06,1,0,3,0,0,0,2,0.948261,0.343287,605,Spring,666
2011-03-07,1,0,3,0,1,1,1,0.551304,0.341352,1872,Spring,665
2011-03-08,1,0,3,0,2,1,1,0.420833,0.12065,2133,Spring,664
2011-03-09,1,0,3,0,3,1,2,0.775417,0.22015,1891,Spring,663
2011-03-10,1,0,3,0,4,1,3,0.0,0.261877,623,Spring,662
2011-03-11,1,0,3,0,5,1,2,0.649565,0.23297,1977,Spring,661
2011-03-12,1,0,3,0,6,0,1,0.594583,0.220775,2132,Spring,660
2011-03-13,1,0,3,0,0,0,1,0.527391,0.270604,2417,Spring,659
2011-03-14,1,0,3,0,1,1,1,0.496957,0.136926,2046,Spring,658
2011-03-15,1,0,3,0,2,1,2,0.655652,0.184309,2056,Spring,657
2011-03-16,1,0,3,0,3,1,2,0.776522,0.203117,2192,Spring,656
2011-03-17,1,0,3,0,4,1,1,0.602917,0.209579,2744,Spring,655
2011-03-18,1,0,3,0,5,1,1,0.525217,0.231017,3239,Spring,654
2011-03-19,1,0,3,0,6,0,1,0.379167,0.368167,3117,Spring,653
2011-03-20,1,0,3,0,0,0,1,0.47375,0.207721,2471,Spring,652
2011-03-21,2,0,3,0,1,1,2,0.737391,0.288783,2077,Summer,651
2011-03-22,2,0,3,0,2,1,1,0.624583,0.22575,2703,Summer,650
2011-03-23,2,0,3,0,3,1,2,0.839565,0.234261,2121,Summer,649
2011-03-24,2,0,3,0,4,1,2,0.805833,0.243787,1865,Summer,648
2011-03-25,2,0,3,0,5,1,1,0.495,0.230725,2210,Summer,647
2011-03-26,2,0,3,0,6,0,1,0.394167,0.209571,2496,Summer,646
2011-03-27,2,0,3,0,0,0,2,0.493913,0.1843,1693,Summer,645
2011-03-28,2,0,3,0,1,1,1,0.302174,0.212204,2028,Summer,644
2011-03-29,2,0,3,0,2,1,1,0.314167,0.226996,2425,Summer,643
2011-03-30,2,0,3,0,3,1,2,0.646667,0.172888,1536,Summer,642
2011-03-31,2,0,3,0,4,1,3,0.918333,0.217646,1685,Summer,641
2011-04-01,2,0,4,0,5,1,2,0.68625,0.258708,2227,Summer,640
2011-04-02,2,0,4,0,6,0,2,0.65375,0.197146,2252,Summer,639
2011-04-03,2,0,4,0,0,0,1,0.48,0.182213,3249,Summer,638
2011-04-04,2,0,4,0,1,1,1,0.42625,0.385571,3115,Summer,637
2011-04-05,2,0,4,0,2,1,2,0.642083,0.388067,1795,Summer,636
2011-04-06,2,0,4,0,3,1,1,0.470833,0.263063,2808,Summer,635
2011-04-07,2,0,4,0,4,1,1,0.602917,0.162312,3141,Summer,634
2011-04-08,2,0,4,0,5,1,2,0.83625,0.226992,1471,Summer,633
2011-04-09,2,0,4,0,6,0,2,0.8775,0.133083,2455,Summer,632
2011-04-10,2,0,4,0,0,0,2,0.8575,0.146767,2895,Summer,631
2011-04-11,2,0,4,0,1,1,2,0.716956,0.324474,3348,Summer,630
2011-04-12,2,0,4,0,2,1,2,0.739167,0.274879,2034,Summer,629
2011-04-13,2,0,4,0,3,1,2,0.819167,0.250617,2162,Summer,628
2011-04-14,2,0,4,0,4,1,1,0.540417,0.1107,3267,Summer,627
2011-04-15,2,0,4,1,5,0,1,0.67125,0.226375,3126,Summer,626
2011-04-16,2,0,4,0,6,0,3,0.888333,0.340808,795,Summer,625
2011-04-17,2,0,4,0,0,0,1,0.479583,0.303496,3744,Summer,624
2011-04-18,2,0,4,0,1,1,1,0.5425,0.163567,3429,Summer,623
2011-04-19,2,0,4,0,2,1,2,0.665833,0.157971,3204,Summer,622
2011-04-20,2,0,4,0,3,1,1,0.614167,0.241925,3944,Summer,621
2011-04-21,2,0,4,0,4,1,1,0.407083,0.325258,4189,Summer,620
2011-04-22,2,0,4,0,5,1,2,0.729583,0.219521,1683,Summer,619
2011-04-23,2,0,4,0,6,0,2,0.887917,0.230725,4036,Summer,618
2011-04-24,2,0,4,0,0,0,2,0.810833,0.192175,4191,Summer,617
2011-04-25,2,0,4,0,1,1,1,0.776667,0.185333,4073,Summer,616
2011-04-26,2,0,4,0,2,1,1,0.729167,0.3265,4400,Summer,615
