dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,hum,windspeed,cnt,humidity_group
2011-01-01,1,0,1,0,0,6,0,Clear,0.81,0.0,16,Very Humid
2011-01-01,1,0,1,1,0,6,0,Clear,0.8,0.0,40,Humid
2011-01-01,1,0,1,2,0,6,0,Clear,0.8,0.0,32,Humid
2011-01-01,1,0,1,3,0,6,0,Clear,0.75,0.0,13,Humid
2011-01-01,1,0,1,4,0,6,0,Clear,0.75,0.0,1,Humid
2011-01-01,1,0,1,5,0,6,0,Mist,0.75,0.0896,1,Humid
2011-01-01,1,0,1,6,0,6,0,Clear,0.8,0.0,2,Humid
2011-01-01,1,0,1,7,0,6,0,Clear,0.86,0.0,3,Very Humid
2011-01-01,1,0,1,8,0,6,0,Clear,0.75,0.0,8,Humid
2011-01-01,1,0,1,9,0,6,0,Clear,0.76,0.0,14,Humid
2011-01-01,1,0,1,10,0,6,0,Clear,0.76,0.2537,36,Humid
2011-01-01,1,0,1,11,0,6,0,Clear,0.81,0.2836,56,Very Humid
2011-01-01,1,0,1,12,0,6,0,Clear,0.77,0.2836,84,Humid
2011-01-01,1,0,1,13,0,6,0,Mist,0.72,0.2985,94,Humid
2011-01-01,1,0,1,14,0,6,0,Mist,0.72,0.2836,106,Humid
2011-01-01,1,0,1,15,0,6,0,Mist,0.77,0.2985,110,Humid
2011-01-01,1,0,1,16,0,6,0,Mist,0.82,0.2985,93,Very Humid
2011-01-01,1,0,1,17,0,6,0,Mist,0.82,0.2836,67,Very Humid
2011-01-01,1,0,1,18,0,6,0,Light snow,0.88,0.2537,35,Very Humid
2011-01-01,1,0,1,19,0,6,0,Light snow,0.88,0.2537,37,Very Humid
2011-01-01,1,0,1,20,0,6,0,Mist,0.87,0.2537,36,Very Humid
2011-01-01,1,0,1,21,0,6,0,Mist,0.87,0.194,34,Very Humid
2011-01-01,1,0,1,22,0,6,0,Mist,0.94,0.2239,28,Very Humid
2011-01-01,1,0,1,23,0,6,0,Mist,0.88,0.2985,39,Very Humid
2011-01-02,1,0,1,0,0,0,0,Mist,0.88,0.2985,17,Very Humid
2011-01-02,1,0,1,1,0,0,0,Mist,0.94,0.2537,17,Very Humid
2011-01-02,1,0,1,2,0,0,0,Mist,1.0,0.2836,9,Very Humid
2011-01-02,1,0,1,3,0,0,0,Mist,0.94,0.194,6,Very Humid
2011-01-02,1,0,1,4,0,0,0,Mist,0.94,0.194,3,Very Humid
2011-01-02,1,0,1,6,0,0,0,Light snow,0.77,0.2985,2,Humid
2011-01-02,1,0,1,7,0,0,0,Mist,0.76,0.194,1,Humid
2011-01-02,1,0,1,8,0,0,0,Light snow,0.71,0.2239,8,Humid
2011-01-02,1,0,1,9,0,0,0,Mist,0.76,0.2239,20,Humid
2011-01-02,1,0,1,10,0,0,0,Mist,0.81,0.2239,53,Very Humid
2011-01-02,1,0,1,11,0,0,0,Mist,0.71,0.2537,70,Humid
2011-01-02,1,0,1,12,0,0,0,Mist,0.66,0.2985,93,Humid
2011-01-02,1,0,1,13,0,0,0,Mist,0.66,0.1343,75,Humid
2011-01-02,1,0,1,14,0,0,0,Light snow,0.76,0.194,59,Humid
2011-01-02,1,0,1,15,0,0,0,Light snow,0.81,0.1642,74,Very Humid
2011-01-02,1,0,1,16,0,0,0,Light snow,0.71,0.1642,76,Humid
2011-01-02,1,0,1,17,0,0,0,Clear,0.57,0.194,65,Normal
2011-01-02,1,0,1,18,0,0,0,Mist,0.46,0.3284,53,Normal
2011-01-02,1,0,1,19,0,0,0,Clear,0.42,0.4478,30,Normal
2011-01-02,1,0,1,20,0,0,0,Clear,0.39,0.3582,22,Dry
2011-01-02,1,0,1,21,0,0,0,Clear,0.44,0.3284,31,Normal
2011-01-02,1,0,1,22,0,0,0,Clear,0.44,0.2985,9,Normal
2011-01-02,1,0,1,23,0,0,0,Clear,0.47,0.1642,8,Normal
2011-01-03,1,0,1,0,0,1,1,Clear,0.44,0.3582,5,Normal
2011-01-03,1,0,1,1,0,1,1,Clear,0.44,0.4179,2,Normal
2011-01-03,1,0,1,4,0,1,1,Clear,0.47,0.3881,1,Normal
2011-01-03,1,0,1,5,0,1,1,Clear,0.47,0.2836,3,Normal
2011-01-03,1,0,1,6,0,1,1,Clear,0.5,0.3881,30,Normal
2011-01-03,1,0,1,7,0,1,1,Clear,0.5,0.194,64,Normal
2011-01-03,1,0,1,8,0,1,1,Clear,0.5,0.2836,154,Normal
2011-01-03,1,0,1,9,0,1,1,Clear,0.43,0.3881,88,Normal
2011-01-03,1,0,1,10,0,1,1,Clear,0.43,0.2537,44,Normal
2011-01-03,1,0,1,11,0,1,1,Clear,0.4,0.3284,51,Dry
2011-01-03,1,0,1,12,0,1,1,Clear,0.35,0.2985,61,Dry
2011-01-03,1,0,1,13,0,1,1,Clear,0.35,0.2836,61,Dry
2011-01-03,1,0,1,14,0,1,1,Clear,0.3,0.2836,77,Dry
2011-01-03,1,0,1,15,0,1,1,Clear,0.3,0.2537,72,Dry
2011-01-03,1,0,1,16,0,1,1,Clear,0.3,0.2537,76,Dry
2011-01-03,1,0,1,17,0,1,1,Clear,0.3,0.2239,157,Dry
2011-01-03,1,0,1,18,0,1,1,Clear,0.32,0.1045,157,Dry
2011-01-03,1,0,1,19,0,1,1,Clear,0.47,0.0,110,Normal
2011-01-03,1,0,1,20,0,1,1,Clear,0.47,0.1045,52,Normal
2011-01-03,1,0,1,21,0,1,1,Clear,0.64,0.1343,52,Humid
2011-01-03,1,0,1,22,0,1,1,Clear,0.69,0.1343,20,Humid
2011-01-03,1,0,1,23,0,1,1,Clear,0.55,0.1045,12,Normal
2011-01-04,1,0,1,0,0,2,1,Clear,0.55,0.1045,5,Normal
2011-01-04,1,0,1,1,0,2,1,Clear,0.59,0.1045,2,Normal
